player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Diamond Miller,player_points,10.5,over,102,betonlineag,0.4072,0.4643,-0.0571,-0.1775,0.0,0,3,0.0,0.0,0
Kiki Iriafen,player_rebounds,8.5,under,110,fanduel,0.3831,0.4406,-0.0575,-0.1955,0.0,0,3,0.0,0.0,0
Azura Stevens,player_rebounds,6.5,under,-102,betonlineag,0.428,0.4859,-0.0579,-0.1524,0.0,0,2,0.0,0.0,0
A'ja Wilson,player_assists,3.5,under,-158,draftkings,0.5251,0.5833,-0.0582,-0.1426,0.0,0,3,0.0,0.0,0
Napheesa Collier,player_assists,2.5,under,122,fanduel,0.3663,0.4275,-0.0612,-0.1868,0.0,0,3,0.0,0.0,0
Jordin Canada,player_assists,8.5,under,-144,draftkings,0.4992,0.562,-0.0628,-0.1541,0.0,0,3,0.0,0.0,0
Olivia Nelson-Ododa,player_rebounds,6.5,over,-119,betonlineag,0.4515,0.5157,-0.0642,-0.1691,0.0,0,3,0.0,0.0,0
Jordan Horston,player_points,6.5,under,-110,draftkings,0.4312,0.5,-0.0688,-0.1768,0.0,0,3,0.0,0.0,0
Chelsea Gray,player_rebounds,2.5,under,114,betonlineag,0.3633,0.4341,-0.0708,-0.2225,0.0,0,3,0.0,0.0,0
Allisha Gray,player_rebounds,2.5,under,136,fanduel,0.3215,0.3927,-0.0712,-0.2413,0.0,0,2,0.0,0.0,0
Shakira Austin,player_points,19.5,under,-120,betonlineag,0.4467,0.5181,-0.0714,-0.181,0.0,0,3,0.0,0.0,0
